event_no,event_name,pre_event,reaction_type,player,date,location,cause,proposal,key_topic,hashtag,tag
1,"แถลงข่าวประกาศจัดตั้งกลุ่ม ""คณะราษฎร"" (การรวมตัวกันของหลายกลุ่ม เช่น แนวร่วมธรรมศาสตร์ เยาวชนปลดแอก นักเรียนเลว)",,1,2,08-10-2563,"สนามหลวง
กรุงเทพมหานคร","- ตอบโต้และกดดันรัฐบาลที่ไม่ตอบสนองข้อเรียกร้องใด ๆ ก่อนหน้านี้ ของผู้ชุมนุม

- กดดันรัฐสภา เปิดประชุมวิสามัญ เรื่องการแก้รัฐธรรมนูญ

- ปฏิรูปสถาบันพระมหากษัตริย์

- นัดชุมนุม 14 ตุลาคม 2563","ข้อเรียกร้อง 3 ข้อ ได้แก่ 

1. พล.อ.ประยุทธ์ จันทร์โอชา นายกฯ และองคาพยพ ลาออก 

2. รัฐสภาต้องเปิดประชุมวิสามัญทันทีเพื่อรับร่างแก้ไขรัฐธรรมนูญฉบับประชาชน 

3. ปฏิรูปสถาบันกษัตริย์ให้อยู่ภายใต้รัฐธรรมนูญตามระบอบประชาธิปไตย","1,2,3,4",,
2,"การชุมนุมของแนวร่วมคณะราษฎรอีสาน (กลุ่ม ""อิสานสิบ่ทน"" พร้อมแนวร่วม) (ตำรวจบุกรวบแกนนำ)",1,1,2,13-10-2563,"อนุสาวรีย์ประชาธิปไตย 
กรุงเทพมหานคร",ยึดพื้นที่ ตั้งเต๊นท์ชุมนุม ตั้งเวทีกระจายเสียง,,,,
3,การจับกุม/ดำเนินคดี จากการชุมนุมของ #คณะราษฎรอีสาน,2,2,4,13-10-2563,"อนุสาวรีย์ประชาธิปไตย
กรุงเทพมหานคร",https://tlhr2014.com/?p=22156,,,,
4,การชุมนุมของคณะราษฎร #ปล่อยเพื่อนเรา,3,2,2,13-10-2563,"Sky Walk หน้า MBK Center -> สำนักงานตำรวจแห่งชาติ
กรุงเทพมหานคร",- ปล่อยไผ่ แอมมี่ และคนอื่น ๆ  (รวมทั้งหมด 21 คน) ที่ถูกจับที่อนุสาวรีย์ประชาธิปไตย วันที่ 13 ตุลาคม 2563 ,ปล่อยตัวประชาชนที่ถูกจับกุม ที่ถูกจับที่อนุสาวรีย์ประชาธิปไตย วันที่ 13 ตุลาคม 2563,1,,
5,การชุมนุมของคณะราษฎร,1,1,2,14-10-2563,"อนุสาวรีย์ประชาธิปไตย  -> หน้าทำเนียบรัฐบาล
กรุงเทพมหานคร",ยกระดับการชุมนุมเพื่อกดดันรัฐบาล,"""ข้อเรียกร้อง 3 ข้อ ได้แก่ 

1. พล.อ.ประยุทธ์ จันทร์โอชา นายกฯ และองคาพยพ ลาออก 

2. รัฐสภาต้องเปิดประชุมวิสามัญทันทีเพื่อรับร่างแก้ไขรัฐธรรมนูญฉบับประชาชน 

3. ปฏิรูปสถาบันกษัตริย์ให้อยู่ภายใต้รัฐธรรมนูญตามระบอบประชาธิปไตย""","1,2,3,4",,
6,#ม็อบ14ตุลา : Free space ปราศรัย เขียนป้าย ดูชุมนุม โดย“คณะราษฎรขอนแก่น” ซึ่งเป็นการร่วมตัวกันของ กลุ่มขอนแก่นพอกันที กลุ่มดาวดิน ภาคีนักเรียน KKC ชุมนุมวาทีวิชาการและการปฏิวัติ คณะนิติศาสตร์ มข.,5,1,2,14-10-2563,"มหาวิทยาลัยขอนแก่น 
จ.ขอนแก่น",การจัดเวทีคู่ขนานกับการชุมนุมที่อนุสาวรีย์ประชาธิปไตย  ที่กรุงเทพฯ  เป็นการสนับสนุนการเคลื่อนไหวในข้อเสนอ 3 ข้อ,"""ข้อเรียกร้อง 3 ข้อ ได้แก่ 

1. พล.อ.ประยุทธ์ จันทร์โอชา นายกฯ และองคาพยพ ลาออก 

2. รัฐสภาต้องเปิดประชุมวิสามัญทันทีเพื่อรับร่างแก้ไขรัฐธรรมนูญฉบับประชาชน 

3. ปฏิรูปสถาบันกษัตริย์ให้อยู่ภายใต้รัฐธรรมนูญตามระบอบประชาธิปไตย""","1,2,3,4",,
7,ม็อบเสื้อเหลือง,5,2,2,14-10-2563,"อนุสาวรีย์ประชาธิปไตย 
กรุงเทพมหานคร","https://www.bangkokbiznews.com/news/detail/902405

แสดงความจงรักภักดีต่อสถาบันพระมหากษัตริย์",,,,
8,"ม็อบเสื้อเหลือง
(#ม็อบ14ตุลา ร่วมรับเสด็จ) (ของอดีตพระพุทธะอิสระ หรือ สุวิทย์ ทองประเสริฐ อดีตแนวร่วม)",5,2,2,14-10-2563,"พระบรมรูปทรงม้า 
กรุงเทพมหานคร","https://www.sanook.com/news/8273030/

แสดงความจงรักภักดีต่อสถาบันพระมหากษัตริย์",,,,
9,ม็อบเสื้อเหลือง (ของสุเทพ เทือกสุบรรณ ประธานมูลนิธิมวลมหาประชาชนเพื่อการปฏิรูปประเทศไทย และอดีตแกนนำ กปปส. ),5,2,2,14-10-2563,"บริเวณลานพลับพลามหาเจษฎาบดินทร์ ถนนราชดำเนิน
กรุงเทพมหานคร","https://www.sanook.com/news/8273030/

แสดงความจงรักภักดีต่อสถาบันพระมหากษัตริย์",,,,
10,ม็อบเสื้อเหลือง (ของนพ.วรงค์ เดชกิจวิกรม หัวหน้ากลุ่มไทยภักดี),5,2,2,14-10-2563,"หน้าวัดพระแก้ว พระบรมมหาราชวัง
กรุงเทพมหานคร","https://www.sanook.com/news/8273030/

แสดงความจงรักภักดีต่อสถาบันพระมหากษัตริย์",,,,
