event_no,event_name,pre_event,reaction_type,player,date,location,cause,proposal,key_topic,hashtag,tag
1,"การจัดชุมนุมของ ""เยาวชนปลดแอก"" (Free YOUTH) ร่วมกับสหภาพนักเรียนนิสิตนักศึกษาแห่งประเทศไทย (สนท.) ",,,1,18-07-2563,"อนุสาวรีย์ประชาธิปไตย 
กรุงเทพมหานคร","แสดงความไม่เห็นด้วยกับการบริหารงานของรัฐบาลชุดนี้ รวมไปถึงการประกาศใช้พระราชกำหนดการบริหารราชการในสถานการณ์ฉุกเฉิน พ.ศ. 2548 ในช่วงสถานการณ์แพร่ระบาดของโควิด-19 ที่ถูกใช้เป็นเครื่องมือทางกฎหมายในการคุกคามประชาชนที่ออกมาแสดงออกทางการเมือง 

และเรียกร้องให้รัฐบาลยุติการจำกัดเสรีภาพในการแสดงออกและการชุมนุม ขอให้มีการยุบสภา เพราะรัฐบาลบริหารเศรษฐกิจล้มเหลว โดยเฉพาะสถานการณ์แพร่ระบาดของโควิด-19 และเรียกร้องให้มีการร่างรัฐธรรมนูญใหม่

https://news.thaipbs.or.th/content/294702","ข้อเรียกร้อง 3 ประการของการชุมนุม

1. “ต้องประกาศยุบสภา”

2. “หยุดคุกคามประชาชน” 

3. “ร่างรัฐธรรมนูญใหม่” 

(https://www.amarintv.com/news/detail/39008)","1,2,3",,
2,"การจัดชุมนุม ""#ระยองไม่ทนคนระยำ"" โดยกลุ่มเยาวชนตะวันออกเพื่อประชาธิปไตย",1,1,1,18-07-2563,"ลานหอนาฬิกา จังหวัดระยอง 
จ.ระยอง","เรียกร้องให้รัฐบาลแก้ไขรัฐธรรมนูญ, เรียกร้องให้ยุบสภา, เรียกร้องให้หยุดคุกคามประชาชน","1. แก้ไขรัฐธรรมนูญ

2. ยุบสภา

3. หยุดคุกคามประชาชน ","1,2,3",,
3,"การจัดชุมนุม ""คนเชียงใหม่จะไม่ทนtoo"" ",1,1,1,19-07-2563,"ประตูท่าแพ
จังหวัดเชียงใหม่",สนับสนุนกลุ่มเยาวชนปลดแอก,"1. ขอให้พลเอกประยุทธ์ลาออกจากตำแหน่ง ผอ. ศบค.

2. ยุบสภา + เลือกตั้งใหม่

3. อย่าขัดขวางการร่างรัฐธรรมนูญใหม่ โดยให้ประชาชนมีส่วนร่วม","1,2,3",,
4,"การจัดชุมนุมของกลุ่ม ""วิ่งไล่ลุง อุบลราชธานี"" ",1,1,2,19-07-2563,"ศาลหลักเมือง
จังหวัดอุบลราชธานี",สนับสนุนกลุ่มเยาวชนปลดแอก,,"1,2,3",,
5,ตัวแทน New life Network-แนวร่วมนวชีวิน-NN อดข้าวประท้วงรัฐบาล,1,1,2,20-07-2563,"หน้าทำเนียบรัฐบาล
กรุงเทพมหานคร",ประท้วงรัฐบาล,,,,
6,อานนท์ นำภา และ เพนกวิน-พริษฐ์ ชิวารักษ์ จัดกิจกรรมแสดงความไม่พอใจผู้พันเจี๊ยบ อดีตรองโฆษก ทบ.,1,1,2,20-07-2563,"หน้ากองบัญชาการกองทัพบก (บก.ทบ.) 
กรุงเทพมหานคร",แสดงความไม่พอใจผู้พันเจี๊ยบ อดีตรองโฆษก ทบ. โพสต์การชุมนุมของเยาวชนปลดแอกเป็นม็อบมุ้งมิ้ง ตีกันเอง,,,,
7,กิจกรรม “ชมสวนใหม่ยาม 2 ทุ่ม” ของ “กลุ่ม มศว คนรุ่นเปลี่ยน”,1,1,1,21-07-2563,"อนุสาวรีย์ประชาธิปไตย 
กรุงเทพมหานคร",,,,,
8,นักศึกษา ม.วลัยลักษณ์ ประกาศหนุน 3 ข้อเรียกร้องเยาวชนปลดแอก,1,1,1,21-07-2563,"ศูนย์อาหารช่อประดู่ มหาวิทยาลัยวลัยลักษณ์ 
จ.นครศรีธรรมราช",เพื่อให้กำลังใจผู้ชุมนุมทั่วประเทศและสนับสนุน 3 ข้อเรียกร้องของกลุ่มเยาวชนปลดแอก,"การยุบสภา, หยุดคุกคามประชาชน และร่างรัฐธรรมนูญฉบับใหม่","1,2,3",,
9,กิจกรรม “อิสานสิบ่ทน” ของกลุ่มแนวร่วม นิสิต มมส เพื่อประชาธิปไตย,1,1,1,22-07-2563,"ลานแปดเหลี่ยม มหาวิทยาลัยมหาสารคาม
จ.มหาสารคาม",,"4 ข้อเรียกร้อง

1. ยุบสภา

2. สว. 250 คน ลาออก

3. เลือกตั้งใหม่ ภายใต้ รัฐธรรมนูญ 2540

4. ยกเลิกรัฐธรรมนูญ 2560 และร่างรัฐธรรมนูญใหม่ของประชาชน","1,2,3",,
10,"กิจกรรม ""คนแพร่เล่าขวัญเผด็จการ"" โดย แกนนำและเครือข่ายรักประชาธิปไตยแพร่",1,1,2,22-07-2563,"สวนสุขภาพเฉลิมพระเกียรติ ร.9
จังหวัดแพร่",,,,,
11,"กิจกรรม ""มาเก็บขยะ""",1,1,2,22-07-2563,"แหลมแท่น
จังหวัดชลบุรี",,,,,
12,"กิจกรรม ""สงขลาไม่ทนtoo""",1,1,2,22-07-2563,"รูปปั้นนางเงือก
ริมชายหาดสมิหลา
จังหวัดสงขลา",,,,,
13,"กิจกรรม ""ปทุมธานีไม่ปรานีเผด็จการ"" โดยกลุ่มเครือข่ายนักศึกษา 3 สถาบัน (เครือข่ายภาคีนักศึกษามหาวิทยาลัยกรุงเทพ กลุ่มรังสิตพะยอมเก๋า และเครือข่ายราชมงคล)",1,1,1,23-07-2563,"บริเวณท่ารถตู้ต่างจังหวัด ตรงข้ามฟิวเจอร์พาร์ครังสิต 
จ.ปทุมธานี",เรียกร้อง 3 ข้อ และแสดง 1 จุดยืน,"ข้อเรียกร้อง 3 ข้อ คือ ยกเลิกองค์กรอิสระที่ไม่อิสระ, ยุบส.ว. ที่ไม่ได้มาจากการเลือกตั้งโดยประชาชน และร่างรัฐธรรมนูญฉบับใหม่ที่โดยให้ประชาชนมีส่วนร่วม 

รวมถึงแสดงจุดยืนไม่เข้าร่วมกับคณะกรรมาธิการศึกษาแนวทางและปัญหาการแก้ไขรัฐธรรมนูญ (กมธ.) ที่จัดรับฟังความเห็นนักศึกษา","1,2,3",,
14,"กิจกรรม ""อีสานบ่ย่านเด้อ"" ของนักศึกษา ม.ขอนแก่น และกลุ่มขอนแก่นพอกันที",1,1,2,23-07-2563,"สวนรัชดานุสรณ์
จังหวัดขอนแก่น",ไล่รัฐบาล,,,,
15,"กิจกรรม ""อยุธยาจะไม่ทนอีกต่อไป""",1,1,2,23-07-2563,"สวนสาธารณะบึงพระราม
จ.อยุธยา",ชุมนุมขับไล่รัฐบาล,,,,
16,กิจกรรม “หมุดหมายประชาธิปไตย ร่วมเเฟลชม็อบไล่เผด็จการไปด้วยกัน” โดยสโมสรนักศึกษาคณะรัฐศาสตร์ มหาวิทยาลัยสงขลานครินทร์,1,1,1,23-07-2563,"มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตปัตตานี 
จ.ปัตตานี",เพื่อเรียกร้อง 3 ข้อเรียกร้องของเยาวชนปลดแอก และเรื่องยกเลิกอุตสาหกรรมจะนะ ,"หยุดคุกคามประชาชน ยุบรัฐสภา เปิดทางให้มีการร่างรัฐธรรมนูญฉบับใหม่ 

และยกเลิกอุตสาหกรรมจะนะ ","1,2,3",,
17,"กิจกรรม ""ลูกภูพานต้านเผด็จการ""",1,1,1,23-07-2563,"ลานคณะมนุษยฯ ราชภัฎสกลนคร
จ.สกลนคร",,,,,
18,กลุ่มนวชีวิน ร่วมกับ ภาคีนักศึกษาศาลายา จัดกิจกรรมอ่านแถลงการณ์ เผารูป พล.อ.ประยุทธ์ และ พล.อ.ประวิตร,1,1,2,24-07-2563,"หน้าทำเนียบรัฐบาล
กรุงเทพมหานคร",,,,,
19,นักเรียนเตรียมอุดมฯ จัดกิจกรรมไล่รัฐบาลเผด็จการในโรงเรียน,1,1,1,24-07-2563,"โรงเรียนเตรียมอุดมศึกษา
กรุงเทพมหานคร",,,,,
20,ชุมนุม “ประชาชนเป็นใหญ่ในแผ่นดิน” โดยกลุ่ม “มอกะเสด” (KU Daily),1,1,1,24-07-2563,"ม.เกษตรฯ
กรุงเทพมหานคร",,,,,
21,"กิจกรรม ""ลูกพิกุลไม่สนับสนุนเผด็จการ"" โดยนักเรียนสตรีวิทยา 2",1,1,1,24-07-2563,"หน้าห้องสมุด
โรงเรียนสตรีวิทยา 2
กรุงเทพมหานคร",ตะโกนยุบสภา ลูกพิกุลไม่สลิ่ม,,,,
22,"กิจกรรม “อุดรธานีสิบ่ทน” โดยกลุ่มเสรีประชาธิปไตยนิสิตนักศึกษาอุดรธานี, กลุ่มดอกจานบานที่อุดรธานี, กลุ่มเยาวชนอุดรปลดแอก",1,1,1,24-07-2563,"ทุ่งศรีเมือง
ลานน้ำพุ
จ.อุดรธานี",,,,,
23,"กิจกรรม “โคราชจะไม่ทน” โดยนิสิต นักศึกษา มรภ.นครราชสีมา มทร.อีสาน วิทยาเขตนครราชสีมา, มหาวิทยาลัยเทคโนโลยีสุรนารี, ม.วงษ์ชวลิตกุล",1,1,1,24-07-2563,"ลานย่าโม
จ.นครราชสีมา",,,,,
24,การจัดชุมนุมโดย พรรควิฬาร์ (แมวดำ) ม.เชียงใหม่ และชาวลำพูน,1,1,2,24-07-2563,"อนุสาวรีย์พระนางจามเทวี
จ.ลำพูน",,,,,
25,"กิจกรรม ""กระบี่ไม่ทน"" ",1,1,1,24-07-2563,"ริมเขื่อนแม่น้ำกระบี่ 
เขตเทศบาลเมืองกระบี่
จ.กระบี่",,,,,
26,กิจกรรม “เก็บขยะเผด็จการ” ,1,1,2,24-07-2563,"สวนสาธารณะท่ามิหรำ
จ.พัทลุง",,,,,
27,กิจกรรม “ใส่ดำไว้ทุกข์ประเทศไทย เดินไล่โจรปล้นชาติ” โดยกลุ่มเลือกข้างประชาธิปไตย,1,1,2,25-07-2563,"ถนนราชดำเนิน -> อนุสาวรีย์ประชาธิปไตย
กรุงเทพมหานคร",,,,,
28,"กิจกรรม ""สมุทรปราการจะไม่ทน""",1,1,2,25-07-2563,"ลานหน้าหอชมเมือง
จ.สมุทรปราการ",,,,,
29,กิจกรรม แต่งชุดดำชุมนุม ของนักเรียน นักศึกษากลุ่ม “คนคอนไม่ทน” ,1,1,1,25-07-2563,สนามหน้าเมืองนครศรีธรรมราช,,,,,
30,กิจกรรม “คนเจียงฮายก่าย คนง่าวบ่เอาคนหลายใจ” โดยนิสิต นักศึกษา จาก ม.แม่ฟ้าหลวง มรภ.เชียงราย ม.พะเยา,1,1,1,25-07-2563,"แยกหอนาฬิกา
จ.เชียงราย ",,,,,
31,"การจัดชุมนุม ""กาญจน์ปลดแอก"" ของกลุ่มเยาวชนกาญจน์ปลดแอก",1,1,1,25-07-2563,"ศาลาขุนแผน -> อนุสาวรีย์พระนั่งเกล้าเจ้าอยู่หัว 
จ.กาญจนบุรี",ประกาศข้อเรียกร้องถึงรัฐบาล 3 ข้อ,"1. ขอให้รัฐบาลยุบสภา 

2. ให้รัฐบาลหยุดคุกคามคนเห็นต่าง 

3. เรียกร้องให้ร่างรัฐธรรมนูญขึ้นมาใหม่","1,2,3",,
