event_no,event_name,pre_event,reaction_type,player,date,location,cause,proposal,key_topic,hashtag,tag
1,"Flashmob
skywalk 
Phatumwan",,,3,14-12-2562,Skywalk Phatumwan,"- การชงเรื่อง ""ยุบพรรคอนาคตใหม่"" ของ กกต. สู่ศาลรัฐธรรมนูญ สะท้อนให้เห็นถึงความพยายามในการใช้กระบวนการกฎหมายและอำนาจอย่างอยุติธรรม อันกระทบต่อประชาชนเจ้าของอำนาจอธิปไตย","1.ไม่ยอมต่อการกดหัวและระบบ
การสืบทอดอำนาจของคณะรักษา
ความสงบแห่งชาติ (คสช.)

2. การแสดงพลังเพื่อ ""ทวงคืนความยุติธรรมสู่ประชาธิปไตย""",1,#ไม่ถอยไม่ทน,"#ฟ้ารักพ่อ
#ไม่ถอยไม่ทน
#ชังชาติ"
2,วิ่งไล่ลุง จ.นครศรีธรรมราช,1,1,2,12-01-2563,"มหาวิทยาลัยวลัยลักษณ์
จ.นครศรีธรรมราช","-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล
1.ลุงอยู่บริหารบ้านเมืองมานาน แต่ไม่แสดงให้เห็นถึง
ความสามารถในการจัดการเท่าที่ควรจะเป็น 
ความฝันและคำสัญญาที่ลุงสร้างว่าจะขอปฏิรูปก่อนเลือกตั้ง 
ก็ไม่เห็นเป็นจริง
2.ลุงไม่ได้แสดงความแตกต่างในทางที่ดีกว่านักการเมืองรุ่นก่อนๆที่ลุงเคยว่าเขา 
แถมการตั้งรัฐบาลของลุง ยังมาจากการรวบรวมสารพันนักการเมืองสายยี้
ที่ประชาชนส่ายหน้า 
3.ลุงสร้างกลไกกติกาต่างๆที่ทำให้บ้านเมืองบิดเบี้ยว บทเฉพาะกาลในรัฐธรรมนูญที่ให้มี ส.ว.
มาจากการแต่งตั้งของลุงเกือบทั้งหมด ไม่ใช่ความปรารถนาดีต่อบ้านเมือง
แต่เพื่อความมั้นคงในตำแหน่งงานของลุงเท่านั้น
4.ลุงยังคงนึกว่าตัวเองมีคะแนนนิยมดี คิดว่าตัวเองทำงานทุ่มเทเหน็ดเหนื่อย 
ไปไหนก็มีแต่คนแวดล้อมยกย่องชมเชย ไม่รู้ถึงความรู้สึกที่แท้จริงของประชาชน
ดังนั้น การแสดงออกด้วยการร่วมวิ่งไล่ลุง จีงเป็นการส่งเสียงของประชนให้รู้ว่า เบื่อแล้ว 
เผื่อให้ลุงปรับปรุงการทำงานตัวเองให้ดีขึ้น",-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
3,วิ่งไล่ลุง จ.แพร่,1,1,2,12-01-2563,"จากตลาดแพร่ปรีดา จ.แพร่
ไปยังสนามหลวงจ.แพร่","-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล

",-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
4,"วิ่งไล่ลุง 
สวนสุขภาพสระพลาสติก 
มหาวิทยาลัยขอนแก่น
จ.ขอนแก่น",1,1,2,12-01-2563,"สวนสุขภาพสระพลาสติก
มหาวิทยาลัยขอนแก่น
จ.ขอนแก่น",-สร้างพื้นที่ความหลากหลายทางความคิดให้นักศึกษาและประชาชนชาวขอนแก่น, -,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
5," วิ่งไล่ลุง
บึงพลาญชัย จ.ร้อยเอ็ด

",1,1,2,12-01-2563,"บึงพลาญชัย 
จ.ร้อยเอ็ด",-,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
6,"วิ่งไล่ลุง ลานหน้าพระร่วง
โรจนฤทธิ์ 
องค์พระปฐมเจดีย์ จ.นครปฐม",1,1,2,12-01-2563,"
ลานหน้าพระร่วงโรจนฤทธิ์ 
องค์พระปฐมเจดีย์ จ.นครปฐม",-,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
7,"วิ่งไล่ลุง อำเภอบางปะกง 
จ.ฉะเชิงเทรา",1,1,2,12-01-2563,"อำเภอบางปะกง
จ.ฉะเชิงเทรา",-ขับไล่รัฐบาล หรือบุคคลในรัฐบาล,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
8,"วิ่งไล่ลุง
ฟิวเจอร์ปาร์ค รังสิต จ.ปทุมธานี",1,1,2,12-01-2563,"ฟิวเจอร์ปาร์ค รังสิต 
จ.ปทุมธานี",-,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
9,"วิ่งไล่ลุง เมืองพัทยา
 จ.ชลบุรี",1,1,2,12-01-2563,"เมืองพัทยา
จ.ชลบุรี",-,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
10,"วิ่งไล่ลุง มหาวิทยาลัย
บูรพา จ.ชลบุรี",1,1,2,12-01-2563,"มหาวิทยาลัย
บูรพา จ.ชลบุรี",-,-,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
